cog	bac_trans_count	bac_trans_all	bac_not_trans_count	bac_not_trans_all
C	54422	455576	148919	4291647
U	142207	455576	19267	4291647
P	26065	455576	192744	4291647
O	27991	455576	233633	4291647
Q	415	455576	75673	4291647
S	82003	455576	418083	4291647
G	14146	455576	38494	4291647
R	54474	455576	255599	4291647
N	24805	455576	16845	4291647
K	24379	455576	800190	4291647
V	3958	455576	419862	4291647
T	23085	455576	137262	4291647
J	6198	455576	989400	4291647
W	68750	455576	1091	4291647
D	3218	455576	21994	4291647
M	3116	455576	28013	4291647
F	2778	455576	98496	4291647
E	2455	455576	32146	4291647
H	2147	455576	210677	4291647
X	1245	455576	117502	4291647
L	912	455576	181971	4291647
I	213	455576	161987	4291647
B	1	455576	418	4291647
