cog	arc_trans_count	arc_trans_all	arc_not_trans_count	arc_not_trans_all	bac_trans_count	bac_trans_all	bac_not_trans_count	bac_not_trans_all	arc_trans_proportion	bac_trans_proportion	fold change
C	1181	11347	9065	191478	54422	455576	148919	4291647	0.10408037366704856	0.11945756580680282	0.871274857846814
G	1376	11347	159	191478	14146	455576	38494	4291647	0.12126553273993126	0.03105080162256133	3.9053913716617368
U	3769	11347	1649	191478	142207	455576	19267	4291647	0.3321582797215123	0.31214769873742254	1.0641061300949157
R	1285	11347	16433	191478	54474	455576	255599	4291647	0.11324579183925267	0.11957170702583103	0.9470952172221495
P	907	11347	6893	191478	26065	455576	192744	4291647	0.0799330219441262	0.057213286037894884	1.3971059430353823
H	461	11347	11507	191478	2147	455576	210677	4291647	0.04062747862871244	0.004712715331799743	8.620821706452864
K	747	11347	40603	191478	24379	455576	800190	4291647	0.06583237860227373	0.05351247651324916	1.2302248539361522
T	569	11347	1046	191478	23085	455576	137262	4291647	0.05014541288446285	0.050672116178200784	0.9896056582305414
O	31	11347	10938	191478	27991	455576	233633	4291647	0.0027319996474839165	0.0614409011888247	0.044465487885467926
S	1393	11347	16179	191478	82003	455576	418083	4291647	0.12276372609500308	0.17999850738405887	0.6820263561023026
F	44	11347	8033	191478	2778	455576	98496	4291647	0.00387767691900943	0.006097775124238327	0.6359166810851836
J	86	11347	56020	191478	6198	455576	989400	4291647	0.007579095796245704	0.01360475529878659	0.557091666097198
E	8	11347	1508	191478	2455	455576	32146	4291647	0.0007050321670926236	0.005388782552197657	0.13083329309791816
W	23	11347	0	191478	68750	455576	1091	4291647	0.002026967480391293	0.1509078616959629	0.013431821626861727
V	72	11347	18636	191478	3958	455576	419862	4291647	0.0063452895038336125	0.008687902786801763	0.7303591740774386
X	11	11347	1765	191478	1245	455576	117502	4291647	0.0009694192297523574	0.00273280418634871	0.35473424499089157
L	3	11347	1117	191478	912	455576	181971	4291647	0.00026438706265973383	0.0020018613798795373	0.13207061453757774
Q	21	11347	1768	191478	415	455576	75673	4291647	0.001850709438618137	0.0009109347287829035	2.031659766766015
D	4	11347	23	191478	3218	455576	21994	4291647	0.0003525160835463118	0.00706358543909249	0.04990611164626928
B	1	11347	115	191478	1	455576	418	4291647	8.812902088657794e-05	2.1950234428503697e-06	40.14946681942363
I	0	11347	792	191478	213	455576	161987	4291647	0.0	0.0004675399933271287	0.0
M	0	11347	15	191478	3116	455576	28013	4291647	0.0	0.006839693047921752	0.0
N	0	11347	3	191478	24805	455576	16845	4291647	0.0	0.05444755649990342	0.0
