Tool,Length,Sensitivity,E-value,Rescue,Time(s)
Diamond,all,fast,0.01,9967,129
Diamond,all,default,0.01,9976,145
Diamond,all,mid-sensitive,0.01,9976,262
Diamond,all,sensitive,0.01,9977,524
Diamond,all,more-sensitive,0.01,9977,540
Diamond,all,very-sensitive,0.01,9977,921
Diamond,all,ultra-sensitive,0.01,9977,3389
MMseqs,all,1,0.01,9904,393
MMseqs,all,2,0.01,9965,482
MMseqs,all,3,0.01,9974,513
MMseqs,all,4,0.01,9979,512
MMseqs,all,5,0.01,9980,576
MMseqs,all,6,0.01,9981,553
MMseqs,all,7,0.01,9982,655
Diamond,80,fast,0.01,9988,
Diamond,80,default,0.01,9989,
Diamond,80,mid-sensitive,0.01,9989,
Diamond,80,sensitive,0.01,9989,
Diamond,80,more-sensitive,0.01,9989,
Diamond,80,very-sensitive,0.01,9989,
Diamond,80,ultra-sensitive,0.01,9989,
MMseqs,80,1,0.01,9980,
MMseqs,80,2,0.01,9992,
MMseqs,80,3,0.01,9995,
MMseqs,80,4,0.01,9997,
MMseqs,80,5,0.01,9998,
MMseqs,80,6,0.01,9998,
MMseqs,80,7,0.01,9998,
Diamond,60,fast,0.01,9985,
Diamond,60,default,0.01,9989,
Diamond,60,mid-sensitive,0.01,9989,
Diamond,60,sensitive,0.01,9989,
Diamond,60,more-sensitive,0.01,9989,
Diamond,60,very-sensitive,0.01,9989,
Diamond,60,ultra-sensitive,0.01,9989,
MMseqs,60,1,0.01,9922,
MMseqs,60,2,0.01,9977,
MMseqs,60,3,0.01,9988,
MMseqs,60,4,0.01,9994,
MMseqs,60,5,0.01,9998,
MMseqs,60,6,0.01,9999,
MMseqs,60,7,0.01,9999,
Diamond,40,fast,0.01,9947,
Diamond,40,default,0.01,9966,
Diamond,40,mid-sensitive,0.01,9968,
Diamond,40,sensitive,0.01,9968,
Diamond,40,more-sensitive,0.01,9968,
Diamond,40,very-sensitive,0.01,9968,
Diamond,40,ultra-sensitive,0.01,9968,
MMseqs,40,1,0.01,9731,
MMseqs,40,2,0.01,9933,
MMseqs,40,3,0.01,9967,
MMseqs,40,4,0.01,9981,
MMseqs,40,5,0.01,9985,
MMseqs,40,6,0.01,9987,
MMseqs,40,7,0.01,9989,
Diamond,30,fast,0.01,9814,
Diamond,30,default,0.01,9853,
Diamond,30,mid-sensitive,0.01,9857,
Diamond,30,sensitive,0.01,9858,
Diamond,30,more-sensitive,0.01,9858,
Diamond,30,very-sensitive,0.01,9858,
Diamond,30,ultra-sensitive,0.01,9858,
MMseqs,30,1,0.01,9207,
MMseqs,30,2,0.01,9719,
MMseqs,30,3,0.01,9855,
MMseqs,30,4,0.01,9888,
MMseqs,30,5,0.01,9905,
MMseqs,30,6,0.01,9917,
MMseqs,30,7,0.01,9920,
